cliente,nombre,Descripcion,Logo,small_logo,color,telefono,correo,descripcion_adicional
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","HIGHBURY ENERGY SERVICES, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","MULTISISTEMAS DE SEGURIDAD DE VERACRUZ, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","OPERADORA DE TRANSPORTES Y MANIOBRAS DEL SUR, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","AR MULTISERVICIOS, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","ASESORIA Y CAPACITACION EN RIESGOS INDUSTRIALES, S.C.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","E2 SISTEMAS DE GESTION, S.C.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","JOC CARGO SOLUTIONS, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","RUHRPUMPEN, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","BUFETE DE MANTENIMIENTO PREDICTIVO E INGENIERIA, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","SERVICIOS Y DISTRIBUCION OPI, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.",RUBEN JIMENEZ GONZALEZ,,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","PROVEEDORA Y CONSTRUCTORA MEXICANA, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.",GREGORIO SUAREZ CRUZ,,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","PETROSWAB INTERNACIONAL, S.A. DE C.V",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","TURBO-MEX REFACCIONES, MANTENIMIENTOS Y SEGURIDAD INDUSTRIAL, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","TECHNOAIR SOLUTIONS, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","FUJISAN SURVEY, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","FAMADI, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","STRATASCAN MEXICO, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","CORPORACION EMPRESARIAL ZAO, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","ENERVAN, S.A. DE C.V.",,,,,,,
" SERVICIOS DE EXTRACCIÓN PETROLERA LIFTING DE MÉXICO, S.A. DE C.V.","SERVICIOS A LA INDUSTRIA PETROLERA OMEGA, S.A. DE C.V.",,,,,,,
